name,dataset,model,k,percent,n_check,T_stop,ari
n_check,USPS,2,25,0.1,7,3,0.7083136347859369
T_stop,USPS,2,25,0.1,3,3,0.6537191544341877
T_stop,USPS,2,25,0.1,3,5,0.6518421990116694
T_stop,USPS,2,25,0.1,3,7,0.6515414206940381
T_stop,USPS,2,25,0.1,3,9,0.6549524646828612
T_stop,USPS,2,25,0.1,3,11,0.6526677817042918
T_stop,USPS,2,25,0.1,3,13,0.6517767994491741
k,mice,3,5,0.1,3,3,0.20872967021006822
k,mice,3,15,0.1,3,3,0.22689133705364725
k,mice,3,25,0.1,3,3,0.20949186078410525
k,mice,3,35,0.1,3,3,0.2046336341907001
k,mice,3,45,0.1,3,3,0.2321094426456617
percent,mice,3,25,0.05,3,3,0.2513050547139224
percent,mice,3,25,0.075,3,3,0.21895791299063444
percent,mice,3,25,0.1,3,3,0.20949186078410525
percent,mice,3,25,0.125,3,3,0.21322376673727358
percent,mice,3,25,0.15,3,3,0.20707513879187944
percent,mice,3,25,0.175,3,3,0.21353051236843487
percent,mice,3,25,0.2,3,3,0.2080242776571081
percent,mice,3,25,0.225,3,3,0.22532402065451954
percent,mice,3,25,0.25,3,3,0.2504486002875998
n_check,mice,3,25,0.1,2,3,0.22673908539386448
n_check,mice,3,25,0.1,3,3,0.20949186078410525
n_check,mice,3,25,0.1,4,3,0.2260543577697169
n_check,mice,3,25,0.1,5,3,0.22941663989679545
n_check,mice,3,25,0.1,6,3,0.22817695139130706
n_check,mice,3,25,0.1,7,3,0.240895381200251
T_stop,mice,3,25,0.1,3,3,0.20949186078410525
T_stop,mice,3,25,0.1,3,5,0.2093034017005205
T_stop,mice,3,25,0.1,3,7,0.20992512927999268
T_stop,mice,3,25,0.1,3,9,0.20910477308020747
T_stop,mice,3,25,0.1,3,11,0.20957935990878684
T_stop,mice,3,25,0.1,3,13,0.21204005915809626
k,optdigits,3,5,0.1,3,3,0.8712370694627708
k,optdigits,3,15,0.1,3,3,0.8823507653488857
k,optdigits,3,25,0.1,3,3,0.8738858792481905
k,optdigits,3,35,0.1,3,3,0.8543836239577182
k,optdigits,3,45,0.1,3,3,0.8521875437065385
percent,optdigits,3,25,0.05,3,3,0.8822870892844953
percent,optdigits,3,25,0.075,3,3,0.872725413377037
percent,optdigits,3,25,0.1,3,3,0.8738858792481905
percent,optdigits,3,25,0.125,3,3,0.8663546932213504
percent,optdigits,3,25,0.15,3,3,0.8611449917891756
percent,optdigits,3,25,0.175,3,3,0.8541017996310181
percent,optdigits,3,25,0.2,3,3,0.8538764471789922
percent,optdigits,3,25,0.225,3,3,0.8463894173182744
percent,optdigits,3,25,0.25,3,3,0.8466425127202604
n_check,optdigits,3,25,0.1,2,3,0.8729118328069567
n_check,optdigits,3,25,0.1,3,3,0.8738858792481905
n_check,optdigits,3,25,0.1,4,3,0.8722279791813855
n_check,optdigits,3,25,0.1,5,3,0.8698386107437988
n_check,optdigits,3,25,0.1,6,3,0.8632334469489031
n_check,optdigits,3,25,0.1,7,3,0.8647816883116383
T_stop,optdigits,3,25,0.1,3,3,0.8738858792481905
T_stop,optdigits,3,25,0.1,3,5,0.8728985904500735
T_stop,optdigits,3,25,0.1,3,7,0.8734943771876896
T_stop,optdigits,3,25,0.1,3,9,0.874321378504228
T_stop,optdigits,3,25,0.1,3,11,0.8746212939404086
T_stop,optdigits,3,25,0.1,3,13,0.873839526921985
k,HAR,3,5,0.1,3,3,0.4789225380088915
k,HAR,3,15,0.1,3,3,0.4578784330170699
k,HAR,3,25,0.1,3,3,0.42173499430086614
k,HAR,3,35,0.1,3,3,0.41333636758367426
k,HAR,3,45,0.1,3,3,0.41638669996077354
percent,HAR,3,25,0.05,3,3,0.4299028431486003
percent,HAR,3,25,0.075,3,3,0.424000164998645
percent,HAR,3,25,0.1,3,3,0.42173499430086614
percent,HAR,3,25,0.125,3,3,0.4230203245903592
percent,HAR,3,25,0.15,3,3,0.45554414459019876
percent,HAR,3,25,0.175,3,3,0.46347175318756906
percent,HAR,3,25,0.2,3,3,0.457940055758597
percent,HAR,3,25,0.225,3,3,0.45961982890876485
percent,HAR,3,25,0.25,3,3,0.4518018026231555
n_check,HAR,3,25,0.1,2,3,0.42991687306231
n_check,HAR,3,25,0.1,3,3,0.42173499430086614
n_check,HAR,3,25,0.1,4,3,0.420996601799279
n_check,HAR,3,25,0.1,5,3,0.43335189542698915
n_check,HAR,3,25,0.1,6,3,0.4525614768630585
n_check,HAR,3,25,0.1,7,3,0.4838829511506183
T_stop,HAR,3,25,0.1,3,3,0.42173499430086614
T_stop,HAR,3,25,0.1,3,5,0.4239345300790621
T_stop,HAR,3,25,0.1,3,7,0.4275140150880839
T_stop,HAR,3,25,0.1,3,9,0.4253710230433764
T_stop,HAR,3,25,0.1,3,11,0.423454433821483
T_stop,HAR,3,25,0.1,3,13,0.42139973780007267
k,USPS,3,5,0.1,3,3,0.6666075759391091
k,USPS,3,15,0.1,3,3,0.7062127590138682
k,USPS,3,25,0.1,3,3,0.7061385596245239
k,USPS,3,35,0.1,3,3,0.6577363429894288
k,USPS,3,45,0.1,3,3,0.6536534560308735
percent,USPS,3,25,0.05,3,3,0.7363714922375183
percent,USPS,3,25,0.075,3,3,0.7193159974658867
percent,USPS,3,25,0.1,3,3,0.7061385596245239
percent,USPS,3,25,0.125,3,3,0.7053677398445105
percent,USPS,3,25,0.15,3,3,0.7358326685481563
percent,USPS,3,25,0.175,3,3,0.735559835801834
percent,USPS,3,25,0.2,3,3,0.758245188914645
percent,USPS,3,25,0.225,3,3,0.6564556572059635
percent,USPS,3,25,0.25,3,3,0.7487777480400523
n_check,USPS,3,25,0.1,2,3,0.714682134932401
n_check,USPS,3,25,0.1,3,3,0.7061385596245239
n_check,USPS,3,25,0.1,4,3,0.7043953846006169
n_check,USPS,3,25,0.1,5,3,0.7068417130320389
n_check,USPS,3,25,0.1,6,3,0.7079633894344701
n_check,USPS,3,25,0.1,7,3,0.7113250139318955
T_stop,USPS,3,25,0.1,3,3,0.7061385596245239
T_stop,USPS,3,25,0.1,3,5,0.7048726320965683
T_stop,USPS,3,25,0.1,3,7,0.7065923592582247
T_stop,USPS,3,25,0.1,3,9,0.7066863232515562
T_stop,USPS,3,25,0.1,3,11,0.7073757106583285
T_stop,USPS,3,25,0.1,3,13,0.7049530403113937
k,mice,4,5,0.1,3,3,0.24160420799171894
k,mice,4,15,0.1,3,3,0.1921006348164346
k,mice,4,25,0.1,3,3,0.20645364086517842
k,mice,4,35,0.1,3,3,0.14582571919024198
k,mice,4,45,0.1,3,3,0.1933322537034056
percent,mice,4,25,0.05,3,3,0.1993368438525465
percent,mice,4,25,0.075,3,3,0.18240030652733807
percent,mice,4,25,0.1,3,3,0.20645364086517842
percent,mice,4,25,0.125,3,3,0.2252247877509036
percent,mice,4,25,0.15,3,3,0.21672145553572636
percent,mice,4,25,0.175,3,3,0.216248289624253
percent,mice,4,25,0.2,3,3,0.17311918722663075
percent,mice,4,25,0.225,3,3,0.1774328930494649
percent,mice,4,25,0.25,3,3,0.1673689057612802
n_check,mice,4,25,0.1,2,3,0.1734253616791297
n_check,mice,4,25,0.1,3,3,0.20645364086517842
n_check,mice,4,25,0.1,4,3,0.19485095677257916
n_check,mice,4,25,0.1,5,3,0.20687746749612476
n_check,mice,4,25,0.1,6,3,0.1968522911154387
n_check,mice,4,25,0.1,7,3,0.1964555356844405
T_stop,mice,4,25,0.1,3,3,0.20645364086517842
T_stop,mice,4,25,0.1,3,5,0.19444237855814545
T_stop,mice,4,25,0.1,3,7,0.21032675512648083
T_stop,mice,4,25,0.1,3,9,0.18756829192865607
T_stop,mice,4,25,0.1,3,11,0.18710625563546268
T_stop,mice,4,25,0.1,3,13,0.19065178876270567
k,optdigits,4,5,0.1,3,3,0.8233774895656945
k,optdigits,4,15,0.1,3,3,0.8269263181252919
k,optdigits,4,25,0.1,3,3,0.8140873320412654
k,optdigits,4,35,0.1,3,3,0.8236659609134028
k,optdigits,4,45,0.1,3,3,0.817137908291049
percent,optdigits,4,25,0.05,3,3,0.8098678051407746
percent,optdigits,4,25,0.075,3,3,0.8164027896156728
percent,optdigits,4,25,0.1,3,3,0.8140873320412654
percent,optdigits,4,25,0.125,3,3,0.8260470280398903
percent,optdigits,4,25,0.15,3,3,0.8268124894476281
percent,optdigits,4,25,0.175,3,3,0.8212928770216923
percent,optdigits,4,25,0.2,3,3,0.8237756355436973
percent,optdigits,4,25,0.225,3,3,0.8239012523273047
percent,optdigits,4,25,0.25,3,3,0.825159074210087
n_check,optdigits,4,25,0.1,2,3,0.8160864978857137
